lstat,ID,chas,rad,ptratio,black,tax,pool,cat_dis,crim,cat_age,medv,zn,nox,rm,indus,palux,garb
3.53,275,1,4,17.6,396.9,254,,Lejos,0.05644,Nueva,32.4,40.0,0.447,6.758,6.41,-5.692099788303083,0.659984046034179
4.85,280,0,5,14.9,396.9,216,,Lejos,0.21038,Nueva,35.1,20.0,0.4429,6.812,3.33,-5.92452529743945,0.8172222002012158
4.59,282,0,5,14.9,392.23,216,,Muy lejos,0.03705,Nueva,35.4,20.0,0.4429,6.968,3.33,-5.9497899122574065,0.5552008115994623
3.01,283,1,5,14.9,377.07,216,,Muy lejos,0.06129,Casi nueva,46.0,20.0,0.4429,7.645,3.33,-6.782329983125268,0.5296505783560065
3.16,284,1,1,13.6,395.52,198,,Muy lejos,0.01501,Nueva,50.0,90.0,0.401,7.923,1.21,-7.0710678118654755,0.24185229090045168
7.85,285,0,1,15.3,394.72,285,,Muy lejos,0.00906,Nueva,32.2,90.0,0.4,7.088,2.97,-5.674504383644443,0.09310276780589921
8.23,286,0,1,15.3,394.72,300,,Muy lejos,0.01096,Nueva,22.0,55.0,0.389,6.453,2.25,-4.69041575982343,0.8972157579533268
12.93,287,0,1,18.2,341.6,241,,Muy lejos,0.01965,Nueva,20.1,80.0,0.385,6.23,1.76,-4.483302354291979,0.9004180571633305
7.6,289,0,6,16.6,396.9,293,,,0.0459,Casi nueva,22.3,52.5,0.405,6.315,5.32,-4.722287581247038,0.6331014572732679
3.33,291,0,4,19.2,396.9,245,,,0.03502,Nueva,28.5,80.0,0.411,6.861,4.95,-5.338539126015656,0.3390297910487007
4.7,293,0,4,19.2,396.9,245,,,0.03615,Nueva,27.9,80.0,0.411,6.63,4.95,-5.282045058497703,0.3492095746126609
8.58,294,0,4,16.0,396.9,289,,Muy lejos,,Nueva,23.9,0.0,0.437,6.127,13.92,-4.888762624632126,0.7259556788702394
7.39,297,0,4,16.0,392.85,289,,Muy lejos,0.05372,Casi nueva,27.1,0.0,0.437,6.549,13.92,-5.205766033928148,0.8971102599525771
15.84,298,0,4,16.0,396.9,289,,,0.14103,Casi nueva,20.3,0.0,0.437,5.79,13.92,-4.505552130427524,0.8870864242651173
9.5,302,0,7,16.1,395.75,329,,Muy lejos,0.03537,Nueva,22.0,34.0,0.433,6.59,6.09,-4.69041575982343,0.7798755458576239
8.67,303,0,7,16.1,383.61,329,,Muy lejos,0.09266,Nueva,26.4,34.0,0.433,6.495,6.09,-5.138093031466052,0.6420316461542878
4.86,304,0,7,16.1,390.43,329,,Muy lejos,0.1,Nueva,33.1,34.0,0.433,6.982,6.09,-5.75325994545701,0.08413996499504883
6.93,305,0,7,18.4,393.68,222,,Lejos,0.05515,Nueva,36.1,33.0,0.472,7.236,2.18,-6.008327554319921,0.16162871409461377
8.93,306,0,7,18.4,393.36,222,,Lejos,0.05479,Casi nueva,28.4,33.0,0.472,6.616,2.18,-5.329165037789691,0.8985541885270792
6.47,307,0,7,18.4,396.9,222,,Lejos,0.07503,Casi nueva,33.4,33.0,0.472,7.42,2.18,-5.779273310719955,0.6064290596595899
4.54,309,0,4,18.4,396.9,304,,Lejos,0.49298,Antigua,22.8,0.0,0.544,6.635,9.9,-4.774934554525329,0.009197051616629648
9.97,310,0,4,18.4,396.24,304,,Lejos,0.3494,Casi nueva,20.3,0.0,0.544,5.972,9.9,-4.505552130427524,0.1014715428660321
12.64,311,0,4,18.4,350.45,304,,Cerca,,Nueva,16.1,0.0,0.544,4.973,9.9,-4.012480529547776,0.6635017691080558
5.98,312,0,4,18.4,396.9,304,,Cerca,,Casi nueva,22.1,0.0,0.544,6.122,9.9,-4.701063709417263,0.005061583846218687
11.72,313,0,4,18.4,396.3,304,,Cerca,0.26169,Antigua,19.4,0.0,0.544,6.023,9.9,-4.404543109109048,0.16080805141749865
11.5,316,0,4,18.4,396.42,304,,Lejos,0.25356,Antigua,16.2,0.0,0.544,5.705,9.9,-4.024922359499621,0.5487337893665861
18.33,317,0,4,18.4,390.7,304,,Lejos,0.31827,Antigua,17.8,0.0,0.544,5.914,9.9,-4.219004621945797,0.6918951976926933
15.94,318,0,4,18.4,396.9,304,,Lejos,0.24522,Casi nueva,19.8,0.0,0.544,5.782,9.9,-4.449719092257398,0.6519612595026005
10.36,319,0,4,18.4,395.21,304,,Lejos,0.40202,Casi nueva,23.1,0.0,0.544,6.382,9.9,-4.806245936279167,0.22426930946055978
7.2,321,0,5,19.6,396.9,287,,,0.1676,Casi nueva,23.8,0.0,0.493,6.426,7.38,-4.878524367060187,0.7121792213475359
6.12,325,0,5,19.6,396.9,287,,Lejos,0.34109,Nueva,25.0,0.0,0.493,6.415,7.38,-5.0,0.23724908749680007
5.08,326,0,5,19.6,393.68,287,,Muy lejos,0.19186,Nueva,24.6,0.0,0.493,6.431,,-4.959838707054898,0.3253996981592677
12.79,328,0,5,19.6,396.9,287,,Muy lejos,0.24103,Nueva,22.2,0.0,0.493,6.083,7.38,-4.711687595755898,0.7464914051180241
9.97,329,0,4,16.9,382.44,430,,,0.06617,Nueva,19.3,0.0,0.46,5.868,3.24,-4.39317652729776,0.6496328990472147
9.09,331,0,4,16.9,368.57,430,,Muy lejos,0.04544,Nueva,19.8,0.0,0.46,6.144,3.24,-4.449719092257398,0.8492234104941779
5.68,334,0,5,20.2,389.71,224,,Muy lejos,0.05083,Nueva,22.2,0.0,0.515,6.316,5.19,-4.711687595755898,0.6576128923003434
6.75,335,0,5,20.2,389.4,224,,,0.03738,Nueva,20.7,0.0,0.515,6.31,5.19,-4.54972526643093,0.5683086033354716
9.8,337,0,5,20.2,396.9,224,,Muy lejos,0.03427,Casi nueva,19.5,0.0,0.515,5.869,5.19,-4.415880433163924,0.09367476782809248
8.51,339,0,5,20.2,396.14,224,,Lejos,0.03306,Nueva,20.6,0.0,0.515,6.059,5.19,-4.538722287164087,0.3677158030594335
9.74,340,0,5,20.2,396.9,224,,Lejos,0.05497,Nueva,19.0,0.0,0.515,5.985,5.19,-4.358898943540674,0.26520236768172545
9.29,341,0,5,20.2,396.9,224,,,0.06151,Casi nueva,18.7,0.0,0.515,5.968,5.19,-4.324349662087931,0.24398964337908358
5.49,342,0,1,15.5,394.74,284,,Muy lejos,,Casi nueva,32.7,35.0,0.442,7.241,1.52,-5.718391382198319,0.9730105547524456
8.65,343,0,1,15.9,389.96,422,,Muy lejos,0.02498,Casi nueva,16.5,0.0,0.518,6.54,1.89,-4.06201920231798,0.3930977246667604
7.18,344,0,5,17.6,396.9,370,,Muy lejos,0.02543,Casi nueva,23.9,55.0,0.484,6.696,,-4.888762624632126,0.8920465551771133
4.61,345,0,5,17.6,387.97,370,,Muy lejos,0.03049,Nueva,31.2,55.0,0.484,6.874,,-5.585696017507576,0.6311386259972629
6.36,348,0,4,17.9,392.43,351,,Muy lejos,0.0187,Nueva,23.1,85.0,0.429,6.516,4.15,-4.806245936279167,0.7948113035416484
5.99,349,0,4,17.0,390.94,280,,Muy lejos,0.01501,Nueva,24.5,80.0,0.435,6.635,2.01,-4.949747468305833,0.5026370931051921
5.89,350,0,1,19.7,389.85,335,,,0.02899,Nueva,26.6,40.0,0.429,6.939,1.25,-5.157518783291051,0.5769038846263591
7.79,353,0,4,18.3,392.33,411,,,0.07244,Nueva,18.6,60.0,0.411,5.884,1.69,-4.312771730569565,0.4925176938188639
17.6,357,1,24,20.2,377.73,666,,Muy cerca,8.98296,Muy antigua,17.8,0.0,0.77,6.212,18.1,-4.219004621945797,0.1952429877980445
13.27,358,1,24,20.2,391.34,666,,Cerca,3.8497,Antigua,21.7,0.0,0.77,6.395,18.1,-4.658325879540846,0.7224521152615053
11.48,359,1,24,20.2,395.43,666,,Cerca,5.20177,Antigua,22.7,0.0,0.77,6.127,18.1,-4.764451699828638,0.2807723624408558
12.67,360,0,24,20.2,390.74,666,,Cerca,4.26131,Antigua,22.6,0.0,0.77,6.112,18.1,-4.753945729601885,0.02431596643145384
7.79,361,0,24,20.2,374.56,666,,Cerca,4.54192,Antigua,25.0,0.0,0.77,6.398,18.1,-5.0,0.6454722959071678
10.19,363,0,24,20.2,380.79,666,,Muy cerca,3.67822,Muy antigua,20.8,0.0,0.77,5.362,18.1,-4.560701700396552,0.17711067940704894
7.12,366,0,24,20.2,354.7,666,,Muy cerca,4.55587,Antigua,27.5,0.0,0.718,3.561,18.1,-5.244044240850758,0.9404585843529143
14.0,367,0,24,20.2,316.03,666,,Muy cerca,3.69695,Antigua,21.9,0.0,0.718,4.963,18.1,-4.679743582719036,0.9539285770025874
13.33,368,0,24,20.2,131.42,666,,Muy cerca,13.5222,Muy antigua,23.1,0.0,0.631,3.863,18.1,-4.806245936279167,0.9148643902204485
3.26,369,0,24,20.2,375.52,666,,Muy cerca,4.89822,Muy antigua,50.0,0.0,0.631,4.97,18.1,-7.0710678118654755,0.3701587002554444
2.96,371,1,24,20.2,392.05,666,,Muy cerca,6.53876,Muy antigua,50.0,0.0,0.631,7.016,18.1,-7.0710678118654755,0.015456616528867428
9.53,372,0,24,20.2,366.15,666,,Muy cerca,9.2323,Muy antigua,50.0,0.0,0.631,6.216,18.1,-7.0710678118654755,0.9283185625877254
8.88,373,1,24,20.2,347.88,666,,Muy cerca,8.26725,Antigua,50.0,0.0,0.668,5.875,18.1,-7.0710678118654755,0.42818414831731433
34.77,374,0,24,20.2,396.9,666,,Muy cerca,11.1081,Muy antigua,13.8,0.0,0.668,4.906,18.1,-3.714835124201342,0.9666548190436696
37.97,375,0,24,20.2,396.9,666,,Muy cerca,18.4982,Muy antigua,13.8,0.0,0.668,4.138,18.1,-3.714835124201342,0.9636199770892528
23.24,377,0,24,20.2,363.02,666,,Muy cerca,15.288,Antigua,13.9,0.0,0.671,6.649,18.1,-3.7282703764614498,0.8530094554673601
21.24,378,0,24,20.2,396.9,666,,Muy cerca,9.82349,Muy antigua,13.3,0.0,0.671,6.794,18.1,-3.646916505762094,0.2944488920695857
23.6,383,0,24,20.2,396.9,666,,Muy cerca,9.18702,Muy antigua,11.3,0.0,0.7,5.536,18.1,-3.361547262794322,0.38509772860192526
24.56,384,0,24,20.2,396.9,666,,Muy cerca,7.99248,Muy antigua,12.3,0.0,0.7,5.52,18.1,-3.5071355833500366,0.8511366715168569
30.63,385,0,24,20.2,285.83,666,,Muy cerca,20.0849,Antigua,8.8,0.0,0.7,4.368,18.1,-2.9664793948382653,0.31692200515627766
28.28,387,0,24,20.2,396.9,666,,Muy cerca,24.3938,Muy antigua,10.5,0.0,0.7,4.652,18.1,-3.24037034920393,0.1694927466860925
31.99,388,0,24,20.2,396.9,666,,Muy cerca,22.5971,Antigua,7.4,0.0,0.7,5.0,18.1,-2.7202941017470885,0.5568012624583502
20.85,390,0,24,20.2,396.9,666,,Muy cerca,8.15174,Muy antigua,11.5,0.0,0.7,5.39,18.1,-3.391164991562634,0.936154774160781
18.76,392,0,24,20.2,378.38,666,,Cerca,5.29305,Antigua,23.2,0.0,0.7,6.051,18.1,-4.8166378315169185,0.696029796674973
25.68,393,0,24,20.2,396.9,666,,Muy cerca,11.5779,Muy antigua,9.7,0.0,0.7,5.036,18.1,-3.1144823004794873,0.570061170089365
16.35,395,0,24,20.2,396.9,666,,Muy cerca,13.3598,Muy antigua,12.7,0.0,0.693,5.887,18.1,-3.5637059362410923,0.09717649377076854
19.37,397,0,24,20.2,396.9,666,,Muy cerca,5.87205,Muy antigua,12.5,0.0,0.693,6.405,18.1,-3.5355339059327378,0.6150072266991697
30.59,399,0,24,20.2,396.9,666,,Muy cerca,38.3518,Muy antigua,5.0,0.0,0.693,5.453,18.1,-2.23606797749979,0.9900538501042633
26.77,401,0,24,20.2,396.9,666,,Muy cerca,25.0461,Muy antigua,5.6,0.0,0.693,5.987,18.1,-2.3664319132398464,0.14008401523652403
20.32,402,0,24,20.2,396.9,666,,,,Muy antigua,7.2,0.0,0.693,6.343,18.1,-2.6832815729997477,0.5183296523637367
19.77,404,0,24,20.2,396.9,666,,Muy cerca,24.8017,Muy antigua,8.3,0.0,0.693,5.349,18.1,-2.8809720581775866,0.8773730719279554
12.13,408,0,24,20.2,332.09,666,,Muy cerca,11.9511,Muy antigua,27.9,0.0,0.659,5.608,18.1,-5.282045058497703,0.7407686177542044
26.4,409,0,24,20.2,314.64,666,,Muy cerca,7.40389,Muy antigua,17.2,0.0,0.597,5.617,18.1,-4.147288270665544,0.697015740995268
20.08,414,0,24,20.2,210.97,666,,Muy cerca,28.6558,Muy antigua,16.3,0.0,0.597,5.155,18.1,-4.03732584763727,0.7024840839871093
36.98,415,0,24,20.2,88.27,666,,Muy cerca,45.7461,Muy antigua,7.0,0.0,0.693,4.519,18.1,-2.6457513110645907,0.35949115121975517
29.05,416,0,24,20.2,27.25,666,,Muy cerca,,Muy antigua,7.2,0.0,0.679,6.434,18.1,-2.6832815729997477,0.29359184426449336
26.64,418,0,24,20.2,127.36,666,,Muy cerca,25.9406,Antigua,10.4,0.0,0.679,5.304,18.1,-3.22490309931942,0.8093611554785136
20.62,419,0,24,20.2,16.45,666,,Muy cerca,73.5341,Muy antigua,8.8,0.0,0.679,5.957,18.1,-2.9664793948382653,0.8101133946791808
22.74,420,0,24,20.2,48.45,666,,Muy cerca,11.8123,Casi nueva,8.4,0.0,0.718,6.824,18.1,-2.898275349237888,0.8670723185801037
17.16,425,0,24,20.2,3.65,666,,Muy cerca,8.79212,Casi nueva,11.7,0.0,0.584,5.565,18.1,-3.420526275297414,0.9132405525564713
24.39,426,0,24,20.2,7.68,666,,Muy cerca,15.8603,Muy antigua,8.3,0.0,0.679,5.896,18.1,-2.8809720581775866,0.5113423988609378
14.52,428,0,24,20.2,18.82,666,,Muy cerca,37.6619,Antigua,10.9,0.0,0.679,6.202,18.1,-3.3015148038438356,0.5015162946871996
21.52,429,0,24,20.2,96.73,666,,Muy cerca,7.36711,Antigua,11.0,0.0,0.679,6.193,18.1,-3.3166247903554,0.7982951789667752
24.08,430,0,24,20.2,60.72,666,,Muy cerca,9.33889,Muy antigua,9.5,0.0,0.679,6.38,18.1,-3.082207001484488,0.6499639307777652
19.69,432,0,24,20.2,81.33,666,,Muy cerca,10.0623,Muy antigua,14.1,0.0,0.584,6.833,18.1,-3.7549966711037173,0.7019668772577033
12.03,433,0,24,20.2,97.95,666,,Cerca,6.44405,Casi nueva,16.1,0.0,0.584,6.425,18.1,-4.012480529547776,0.795792669436101
16.22,434,0,24,20.2,100.19,666,,Cerca,,Antigua,14.3,0.0,0.713,6.436,18.1,-3.7815340802378077,0.8900053418175663
15.17,435,0,24,20.2,100.63,666,,Cerca,13.9134,Muy antigua,11.7,0.0,0.713,6.208,18.1,-3.420526275297414,0.3379951568515358
26.45,438,0,24,20.2,9.32,666,,Muy cerca,15.1772,Muy antigua,8.7,0.0,0.74,6.152,18.1,-2.949576240750525,0.375582952639944
22.88,440,0,24,20.2,396.9,666,,Muy cerca,9.39063,Muy antigua,12.8,0.0,0.74,5.627,18.1,-3.5777087639996634,0.093981939840869
22.11,441,0,24,20.2,391.45,666,,Muy cerca,22.0511,Antigua,10.5,0.0,0.74,5.818,,-3.24037034920393,0.578280140996174
19.52,442,0,24,20.2,385.96,666,,Muy cerca,9.72418,Muy antigua,17.1,0.0,0.74,6.406,18.1,-4.135214625627067,0.035942273796742086
16.59,443,0,24,20.2,395.69,666,,Muy cerca,5.66637,Muy antigua,18.4,0.0,0.74,6.219,18.1,-4.2895221179054435,0.46559801813246016
18.85,444,0,24,20.2,386.73,666,,,9.96654,Muy antigua,15.4,0.0,0.74,6.485,18.1,-3.924283374069717,0.5426446347075766
23.79,445,0,24,20.2,240.52,666,,Muy cerca,,Muy antigua,10.8,0.0,0.74,5.854,18.1,-3.286335345030997,0.2865412521282844
23.98,446,0,24,20.2,43.06,666,,Muy cerca,10.6718,Muy antigua,11.8,0.0,0.74,6.459,18.1,-3.4351128074635335,0.5908332605690108
16.44,448,0,24,20.2,388.52,666,,Cerca,9.92485,Muy antigua,12.6,0.0,0.74,6.251,18.1,-3.5496478698597698,0.03050024993904943
18.13,449,0,24,20.2,396.9,666,,Cerca,,Muy antigua,14.1,0.0,0.713,6.185,18.1,-3.7549966711037173,0.03734818874921442
17.73,452,0,24,20.2,355.29,666,,Cerca,5.44114,Muy antigua,15.2,0.0,0.713,6.655,,-3.8987177379235853,0.8226005606596583
17.27,453,0,24,20.2,385.09,666,,Cerca,5.09017,Antigua,16.1,0.0,0.713,6.297,18.1,-4.012480529547776,0.3601906414112629
16.74,454,0,24,20.2,375.87,666,,,8.24809,Muy antigua,17.8,0.0,0.713,7.393,18.1,-4.219004621945797,0.12706051265188478
18.13,456,0,24,20.2,50.92,666,,Cerca,4.75237,Antigua,14.1,0.0,0.713,6.525,18.1,-3.7549966711037173,0.5222432600548044
16.94,458,0,24,20.2,3.5,666,,Cerca,8.20058,Antigua,13.5,0.0,0.713,5.936,18.1,-3.6742346141747673,0.7699935530986108
16.23,459,0,24,20.2,272.21,666,,Cerca,7.75223,Antigua,14.9,0.0,0.713,6.301,18.1,-3.8600518131237567,0.21582102749684318
14.7,460,0,24,20.2,396.9,666,,Cerca,,Antigua,20.0,0.0,0.713,6.081,18.1,-4.47213595499958,0.6228904758190003
16.42,461,0,24,20.2,255.23,666,,,4.81213,Antigua,16.4,0.0,0.713,6.701,18.1,-4.049691346263317,0.085347464993768
14.65,462,0,24,20.2,391.43,666,,Cerca,,Antigua,17.7,0.0,0.713,6.376,18.1,-4.207136793592526,0.0516817211686077
13.99,463,0,24,20.2,396.9,666,,Cerca,,Antigua,19.5,0.0,0.713,6.317,18.1,-4.415880433163924,0.531354631568148
10.29,464,0,24,20.2,393.82,666,,Cerca,5.82115,Antigua,20.2,0.0,0.713,6.513,18.1,-4.494441010848846,0.5406351216101065
13.22,465,0,24,20.2,396.9,666,,Cerca,7.83932,Casi nueva,21.4,0.0,0.655,6.209,18.1,-4.626013402488151,0.6374299014982066
14.13,466,0,24,20.2,334.4,666,,Cerca,3.1636,Casi nueva,19.9,0.0,0.655,5.759,18.1,-4.460941604639093,0.7260913337226615
17.15,467,0,24,20.2,22.01,666,,,3.77498,Antigua,19.0,0.0,0.655,5.952,18.1,-4.358898943540674,0.9758520794625346
21.32,468,0,24,20.2,331.29,666,,,4.42228,Muy antigua,19.1,0.0,0.584,6.003,18.1,-4.370354676682432,0.5163003483011953
18.13,469,0,24,20.2,368.74,666,,Cerca,15.5757,Casi nueva,19.1,0.0,0.58,5.926,18.1,-4.370354676682432,0.32295647294124596
14.76,470,0,24,20.2,396.9,666,,Cerca,13.0751,Casi nueva,20.1,0.0,0.58,5.713,,-4.483302354291979,0.7951861947687037
12.87,472,0,24,20.2,395.33,666,,Lejos,4.03841,Antigua,19.6,0.0,0.532,6.229,18.1,-4.427188724235731,0.2708322512620742
14.36,473,0,24,20.2,393.37,666,,Cerca,3.56868,Casi nueva,23.2,0.0,0.58,6.437,18.1,-4.8166378315169185,0.4389714207056361
18.14,475,0,24,20.2,352.58,666,,Cerca,8.05579,Muy antigua,13.8,0.0,0.584,5.427,18.1,-3.714835124201342,0.07845638134226596
18.68,477,0,24,20.2,396.21,666,,Cerca,4.87141,Antigua,16.7,0.0,0.614,6.484,18.1,-4.08656334834051,0.02535074341545751
24.91,478,0,24,20.2,349.48,666,,Muy cerca,15.0234,Muy antigua,12.0,0.0,0.614,5.304,18.1,-3.4641016151377544,0.9626484146779251
18.03,479,0,24,20.2,379.7,666,,Cerca,10.233,Muy antigua,14.6,0.0,0.614,6.185,18.1,-3.82099463490856,0.8359801205122058
13.11,480,0,24,20.2,383.32,666,,Muy cerca,14.3337,Antigua,21.4,0.0,0.614,6.229,18.1,-4.626013402488151,0.695974206093698
10.74,481,0,24,20.2,396.9,666,,,5.82401,Casi nueva,23.0,0.0,0.532,6.242,18.1,-4.795831523312719,0.4089529444142699
7.74,482,0,24,20.2,393.07,666,,Lejos,5.70818,Casi nueva,23.7,0.0,0.532,6.75,18.1,-4.868264577855234,0.17329432007084578
10.42,484,0,24,20.2,392.92,666,,Lejos,2.81838,Nueva,21.8,0.0,0.532,5.762,18.1,-4.669047011971501,0.15643704267108605
13.34,485,0,24,20.2,370.73,666,,,2.37857,Nueva,20.6,0.0,0.583,5.871,18.1,-4.538722287164087,0.25024289816459533
14.98,487,0,24,20.2,392.68,666,,Lejos,,Antigua,19.1,0.0,0.583,6.114,18.1,-4.370354676682432,0.5492266647061205
11.45,488,0,24,20.2,388.22,666,,Lejos,4.83567,Casi nueva,20.6,0.0,0.583,5.905,18.1,-4.538722287164087,0.7145959227000623
18.06,489,0,4,20.1,395.09,711,,Muy cerca,,Antigua,15.2,0.0,0.609,5.454,27.74,-3.8987177379235853,0.6601973767177313
29.68,491,0,4,20.1,318.43,711,,Muy cerca,0.20746,Muy antigua,8.1,0.0,0.609,5.093,27.74,-2.8460498941515415,0.27993389694594284
18.07,492,0,4,20.1,390.11,711,,Muy cerca,0.10574,Muy antigua,13.6,0.0,0.609,5.983,27.74,-3.687817782917155,0.9548652806631941
13.35,493,0,4,20.1,396.9,711,,Muy cerca,0.11132,Antigua,20.1,0.0,0.609,5.983,27.74,-4.483302354291979,0.7378969166957685
12.01,494,0,6,19.2,396.9,391,,,0.17331,Casi nueva,21.8,0.0,0.585,5.707,9.69,-4.669047011971501,0.5543540525114007
14.1,498,0,6,19.2,396.9,391,,Cerca,0.26838,Casi nueva,18.3,0.0,0.585,5.794,9.69,-4.277849927241488,0.6117207462343522
15.1,500,0,6,19.2,395.77,391,,Cerca,0.17783,Casi nueva,17.5,0.0,0.585,5.569,9.69,-4.183300132670378,0.4196000624277899
9.67,502,0,1,21.0,391.99,273,,Cerca,0.06263,Casi nueva,22.4,0.0,0.573,6.593,11.93,-4.732863826479693,0.24773098950115746
9.08,503,0,1,21.0,396.9,273,,Cerca,0.04527,Casi nueva,20.6,0.0,0.573,6.12,11.93,-4.538722287164087,0.3559726786512616
5.64,504,0,1,21.0,396.9,273,,Cerca,0.06076,Antigua,23.9,0.0,0.573,6.976,11.93,-4.888762624632126,0.7578461104643691
7.88,506,0,1,21.0,396.9,273,,Cerca,0.04741,Antigua,11.9,0.0,0.573,6.03,11.93,-3.449637662132068,0.014393488629755868
